Diploma,MinYearsExperience,Role,Contract,Industry,Canton,Perks,CompanySize,Languages,Holidays,MaternityLeaveWeeks,PaternityLeaveWeeks,WorkloadPercent,SalaryCHF
Master,2 to 6,Mid-level,Permanent,Pharma,BS,"Stock options, Housing support",Medium (200-1000),,25,,,90,153400
Bachelor,0 to 0,Intern,1 year,Retail,ZH,Stock options,Medium (200-1000),German,27,14.0,4.0,90,28200
Bachelor,2 to 6,Mid-level,Permanent,Healthcare,TG,None,Startup (<50),"English, German",20,14.0,3.0,100,61300
Bachelor,0 to 0,Intern,6 months,Retail,TI,None,Large (1000+),"Italian, German",25,14.0,3.0,100,25000
Bachelor,2 to 6,Mid-level,2 years,Pharma,SG,Housing support,Large (1000+),"English, German",22,14.0,3.0,90,116400
Bachelor,4 to 10,Senior,Permanent,Construction,ZH,"Stock options, Meal vouchers",Small (50-200),"English, German",30,,,100,125300
Bachelor,4 to 10,Senior,Permanent,Finance,GE,"AG (train pass), Housing support",Startup (<50),French,20,18.0,2.0,90,117700
Bachelor,2 to 6,Mid-level,Permanent,Manufacturing,ZG,"Housing support, Meal vouchers",Medium (200-1000),German,24,18.0,3.0,100,109100
Bachelor,2 to 6,Mid-level,Permanent,Manufacturing,AG,AG (train pass),Small (50-200),"English, German",35,14.0,2.0,90,64600
Bachelor,2 to 6,Mid-level,2 years,Construction,BE,"Meal vouchers, Car",Small (50-200),"English, German",28,14.0,2.0,100,64500
Master,2 to 6,Mid-level,2 years,Education,ZH,None,Medium (200-1000),"French, English, German",25,16.0,2.0,90,102900
Master,2 to 6,Mid-level,Permanent,Hospitality,VS,Meal vouchers,Large (1000+),"French, English, German",25,,,100,99200
Master,7 to 20,Manager,Permanent,Manufacturing,SG,None,Small (50-200),"French, German",25,,,100,224800
Apprenticeship,0 to 2,Junior,2 years,Healthcare,LU,None,Small (50-200),German,24,,,90,31900
Master,0 to 0,Intern,6 months,IT,SG,"AG (train pass), Housing support",Small (50-200),German,24,,,100,40500
PhD,2 to 6,Mid-level,2 years,Healthcare,SH,"Meal vouchers, Car",Small (50-200),German,20,,,100,88000
Apprenticeship,0 to 2,Junior,1 year,Construction,BE,Meal vouchers,Startup (<50),"French, English, German",25,,,90,26900
Master,0 to 0,Intern,6 months,Construction,OW,Car,Medium (200-1000),"French, German",24,,,60,25000
Master,2 to 6,Mid-level,2 years,Retail,SG,None,Medium (200-1000),German,24,14.0,6.0,100,75000
Master,2 to 6,Mid-level,Permanent,Consulting,ZH,None,Large (1000+),German,25,14.0,2.0,90,146700
PhD,4 to 10,Senior,Permanent,Finance,ZH,None,Small (50-200),"English, German",23,18.0,3.0,70,165000
Bachelor,4 to 10,Senior,Permanent,Healthcare,VD,None,Startup (<50),French,28,,,100,93000
Master,0 to 0,Intern,1 year,Education,TG,Meal vouchers,Medium (200-1000),"English, German",25,14.0,3.0,100,43400
Master,6 to 15,Lead,Permanent,Energy,ZH,"Car, Housing support",Startup (<50),"English, German",23,14.0,2.0,100,187900
Bachelor,0 to 0,Intern,1 year,IT,ZH,Housing support,Medium (200-1000),"French, German",25,14.0,4.0,100,46500
PhD,2 to 6,Mid-level,2 years,Healthcare,SO,Car,Startup (<50),"English, German",26,14.0,3.0,100,67200
Apprenticeship,0 to 2,Junior,2 years,IT,ZH,Car,Large (1000+),"French, English, German",25,,,80,72400
Master,2 to 6,Mid-level,Permanent,Manufacturing,TG,AG (train pass),Large (1000+),German,23,,,90,103000
Master,0 to 0,Intern,6 months,Hospitality,SO,,Startup (<50),"French, English, German",28,,,60,25000
Apprenticeship,0 to 2,Junior,Permanent,Finance,ZH,Car,Medium (200-1000),"French, German",25,14.0,2.0,80,67600
Bachelor,4 to 10,Senior,Permanent,Manufacturing,TG,"Stock options, AG (train pass)",Large (1000+),German,24,16.0,2.0,80,122200
Bachelor,2 to 6,Mid-level,2 years,Consulting,ZH,Meal vouchers,Medium (200-1000),German,28,16.0,2.0,90,103000
PhD,6 to 15,Lead,Permanent,Retail,TG,"Car, Housing support",Large (1000+),"French, English, German",25,16.0,4.0,100,246000
